Bacterium, Iteration Born, Iteration Died, Life Span, Generation, Parent Bacterium, Number of Offspring, Alive at End
196,39,39,0,7,91,0,0
197,39,48,9,7,94,0,0
198,39,40,1,7,97,0,0
199,39,43,4,7,100,0,0
200,39,45,6,8,101,0,0
201,39,41,2,8,102,0,0
202,39,44,5,9,105,0,0
203,39,43,4,6,108,0,0
204,39,48,9,8,110,0,0
205,39,41,2,6,111,0,0
206,39,48,9,8,113,0,0
207,39,48,9,9,114,0,0
208,39,43,4,9,117,0,0
209,39,48,9,9,119,0,0
210,39,47,8,10,121,0,0
211,39,42,3,10,122,0,0
212,39,48,9,10,123,0,0
213,39,43,4,10,124,0,0
214,39,48,9,7,126,0,0
215,39,43,4,5,127,0,0
216,39,48,9,5,128,0,0
217,39,44,5,8,130,0,0
218,39,45,6,8,131,0,0
219,39,40,1,7,132,0,0
220,39,42,3,6,134,0,0
221,39,48,9,7,135,0,0
222,39,48,9,9,137,0,0
223,39,43,4,9,138,0,0
224,39,46,7,6,140,0,0
225,39,40,1,8,142,0,0
226,39,46,7,6,143,0,0
227,39,46,7,7,144,0,0
228,39,44,5,9,145,0,0
229,39,46,7,9,147,0,0
230,39,39,0,9,149,0,0
231,39,41,2,9,150,0,0
232,39,46,7,10,151,0,0
233,39,39,0,10,153,0,0
234,39,46,7,8,155,0,0
235,39,42,3,8,157,0,0
236,39,39,0,8,158,0,0
237,39,46,7,10,161,0,0
238,39,41,2,10,162,0,0
239,39,46,7,9,165,0,0
240,39,41,2,7,166,0,0
241,39,46,7,8,167,0,0
242,39,41,2,9,168,0,0
243,39,46,7,10,170,0,0
244,39,45,6,10,172,0,0
245,39,40,1,11,173,0,0
246,39,46,7,11,174,0,0
247,39,43,4,11,175,0,0
248,39,46,7,11,176,0,0
249,42,42,0,4,11,0,0
250,42,45,3,6,37,0,0
251,42,45,3,7,39,0,0
252,42,45,3,7,40,0,0
253,42,45,3,6,42,0,0
254,42,45,3,7,43,0,0
255,42,45,3,5,53,0,0
256,42,45,3,6,54,0,0
257,42,45,3,8,62,0,0
258,42,45,3,5,65,0,0
259,42,45,3,5,66,0,0
260,42,45,3,6,71,0,0
261,42,43,1,8,75,0,0
262,42,45,3,8,84,0,0
263,42,45,3,9,86,0,0
264,42,44,2,9,88,0,0
265,42,44,2,7,91,0,0
266,42,45,3,7,100,0,0
267,42,45,3,8,101,0,0
268,42,45,3,9,105,0,0
269,42,45,3,6,108,0,0
270,42,45,3,8,110,0,0
271,42,42,0,6,111,0,0
272,42,45,3,8,113,0,0
273,42,45,3,9,114,0,0
274,45,47,2,4,11,0,0
275,45,48,3,6,37,0,0
276,45,49,4,7,39,0,0
