Bacterium, Iteration Born, Iteration Died, Life Span, Generation, Parent Bacterium, Number of Offspring, Alive at End
855,139,155,16,13,757,3,0
856,139,142,3,11,770,0,0
857,139,142,3,12,771,0,0
858,140,147,7,10,755,0,0
859,140,163,23,12,756,5,0
860,140,141,1,14,800,0,0
861,141,148,7,10,637,0,0
862,141,144,3,11,690,0,0
863,141,144,3,11,695,0,0
864,141,144,3,12,746,0,0
865,141,143,2,12,747,0,0
866,141,141,0,11,785,0,0
867,141,144,3,12,786,0,0
868,141,144,3,13,788,0,0
869,142,150,8,9,624,1,0
870,142,159,17,13,757,4,0
871,142,149,7,11,770,0,0
872,142,144,2,13,815,0,0
873,142,151,9,13,818,1,0
874,143,155,12,10,755,2,0
875,143,143,0,12,756,0,0
876,143,154,11,14,800,2,0
877,144,149,5,10,637,0,0
878,144,154,10,11,690,1,0
879,144,145,1,11,695,0,0
880,144,147,3,12,746,0,0
881,144,144,0,12,747,0,0
882,144,147,3,12,786,0,0
883,144,147,3,11,841,0,0
884,144,147,3,10,852,0,0
885,145,152,7,13,757,0,0
886,145,155,10,11,770,1,0
887,145,161,16,13,818,3,0
888,145,165,20,10,833,4,1
889,145,145,0,12,834,0,0
890,145,154,9,13,835,0,0
891,145,150,5,13,846,0,0
892,145,148,3,12,848,0,0
893,146,149,3,10,755,0,0
894,146,149,3,12,853,0,0
895,147,155,8,10,637,1,0
896,147,147,0,11,690,0,0
897,147,156,9,11,695,1,0
898,147,162,15,12,746,3,0
899,148,165,17,13,757,3,1
900,148,151,3,13,818,0,0
901,148,150,2,10,833,0,0
902,148,151,3,12,834,0,0
903,148,151,3,13,835,0,0
904,148,151,3,12,848,0,0
905,148,151,3,14,855,0,0
906,148,151,3,13,859,0,0
907,149,156,7,10,755,0,0
908,149,152,3,12,853,0,0
909,149,155,6,10,869,0,0
910,149,154,5,14,870,0,0
911,149,151,2,14,873,0,0
912,150,165,15,10,637,2,1
913,150,165,15,11,690,2,1
914,150,165,15,11,695,2,1
915,150,154,4,12,746,0,0
916,150,151,1,11,874,0,0
917,150,153,3,15,876,0,0
918,151,154,3,13,757,0,0
919,151,163,12,13,818,2,0
920,151,154,3,10,833,0,0
921,151,152,1,12,834,0,0
922,151,154,3,13,835,0,0
923,151,154,3,12,848,0,0
924,151,154,3,14,855,0,0
925,151,154,3,13,859,0,0
926,151,151,0,12,878,0,0
927,152,165,13,12,853,2,1
928,152,165,13,14,870,2,1
929,152,153,1,12,886,0,0
930,152,160,8,14,887,1,0
931,153,165,12,11,690,3,1
932,153,165,12,11,695,3,1
933,153,165,12,12,746,2,1
934,153,165,12,11,874,2,1
935,153,165,12,15,876,2,1
936,154,157,3,13,757,0,0
937,154,157,3,13,818,0,0
938,154,157,3,12,834,0,0
939,154,157,3,13,835,0,0
940,154,157,3,12,848,0,0
941,154,157,3,14,855,0,0
942,154,157,3,13,859,0,0
943,154,154,0,11,888,0,0
944,154,157,3,11,895,0,0
945,154,157,3,12,897,0,0
946,154,157,3,13,898,0,0
947,155,165,10,12,853,1,1
948,155,161,6,14,870,0,0
949,155,160,5,14,887,0,0
950,156,161,5,11,690,0,0
951,156,165,9,12,746,0,1
952,156,162,6,14,899,0,0
953,157,159,2,13,757,0,0
954,157,157,0,13,818,0,0
955,157,159,2,12,834,0,0
956,157,165,8,12,848,0,1
957,157,165,8,13,859,0,1
958,157,161,4,11,888,0,0
959,157,164,7,13,898,0,0
960,158,161,3,12,853,0,0
961,158,161,3,14,870,0,0
962,158,161,3,14,887,0,0
963,158,158,0,12,931,0,0
964,158,161,3,12,932,0,0
965,159,163,4,11,690,0,0
966,159,160,1,12,746,0,0
967,159,165,6,14,899,0,1
968,159,160,1,11,912,0,0
969,159,165,6,12,913,0,1
970,159,165,6,12,914,0,1
971,159,163,4,14,919,0,0
972,159,162,3,13,927,0,0
973,159,162,3,15,928,0,0
974,159,162,3,15,930,0,0
975,160,162,2,13,818,0,0
976,160,162,2,13,859,0,0
977,160,165,5,11,888,0,1
978,160,165,5,13,898,0,1
979,160,165,5,13,933,0,1
980,160,165,5,12,934,0,1
981,160,164,4,16,935,0,0
982,161,162,1,12,853,0,0
983,161,164,3,12,931,0,0
984,161,163,2,12,932,0,0
985,162,165,3,11,690,0,1
986,162,165,3,12,746,0,1
987,162,165,3,14,899,0,1
988,162,165,3,11,912,0,1
989,162,164,2,12,913,0,0
990,162,165,3,12,914,0,1
991,162,165,3,14,919,0,1
992,162,165,3,13,927,0,1
993,162,165,3,15,928,0,1
994,162,165,3,13,947,0,1
995,163,163,0,13,818,0,0
996,163,165,2,11,888,0,1
997,163,165,2,13,933,0,1
998,163,165,2,12,934,0,1
999,163,165,2,16,935,0,1
1000,164,165,1,12,853,0,1
1001,164,165,1,12,931,0,1
1002,164,165,1,12,932,0,1
